address,predicted_block,predicted_street,predicted_building,predicted_floor_num,predicted_unit_num,predicted_country,predicted_postal_code,block,street,building,floor_num,unit_num,country,postal_code,accuracy,latitude,longitude
123A #23-83 RIVERVALE DRIVE PCF SPARKLETOTS PRESCHOOL @ PUNGGOL EAST 123A (CC) SINGAPORE 541123,123A,RIVERVALE DRIVE,PCF SPARKLETOTS PRESCHOOL @ PUNGGOL EAST 123A (CC),23,83,SINGAPORE,541123,123A,RIVERVALE DRIVE,PCF SPARKLETOTS PRESCHOOL @ PUNGGOL EAST 123A (CC),23,83,SINGAPORE,541123,1.0,1.3861205,103.9030314
271 BISHAN STREET 24 #10-70 SINGAPORE 570271,271,BISHAN STREET 24,,10,70,SINGAPORE,570271,271,BISHAN STREET 24,,10,70,SINGAPORE,570271,1.0,48.2706432,26.1976756
718 CARE CORNER FAMILY SERVICE CENTRE (ADMIRALTY) #03-41 WOODLANDS AVENUE 6 SINGAPORE 730718,718,WOODLANDS AVENUE 6,CARE CORNER FAMILY SERVICE CENTRE (ADMIRALTY),03,41,SINGAPORE,730718,718,WOODLANDS AVENUE 6,CARE CORNER FAMILY SERVICE CENTRE (ADMIRALTY),03,41,SINGAPORE,730718,1.0,1.4417812,103.8013294
346 TECK GHEE EVERGREEN #22-17 ANG MO KIO AVENUE 3 SINGAPORE 560346,346,ANG MO KIO AVENUE 3,TECK GHEE EVERGREEN,22,17,SINGAPORE,560346,346,ANG MO KIO AVENUE 3,TECK GHEE EVERGREEN,22,17,SINGAPORE,560346,1.0,1.3670769,103.8496671
658B #16-21 JURONG WEST STREET 65 SINGAPORE 642658,658B,JURONG WEST STREET 65,,16,21,SINGAPORE,642658,658B,JURONG WEST STREET 65,,16,21,SINGAPORE,642658,1.0,1.3365149,103.7007495
147 #17-83 BISHAN STREET 11 BISHAN GREEN SINGAPORE 570147,147,BISHAN STREET 11,BISHAN GREEN,17,83,SINGAPORE,570147,147,BISHAN STREET 11,BISHAN GREEN,17,83,SINGAPORE,570147,1.0,1.3438804,103.8550867
430 BUKIT PANJANG RING ROAD #17-91 SINGAPORE 670430,430,BUKIT PANJANG RING ROAD,,17,91,SINGAPORE,670430,430,BUKIT PANJANG RING ROAD,,17,91,SINGAPORE,670430,1.0,50.11880505,12.628842473714952
60 DAKOTA CRESCENT #14-52 SINGAPORE 390060,60,DAKOTA CRESCENT,,14,52,SINGAPORE,390060,60,DAKOTA CRESCENT,,14,52,SINGAPORE,390060,1.0,1.3077084,103.88864705
272 #02-71 TAMPINES STREET 22 EXCEL LEARNING CENTER SINGAPORE 520272,272,TAMPINES STREET 22,EXCEL LEARNING CENTER,02,71,SINGAPORE,520272,272,TAMPINES STREET 22,EXCEL LEARNING CENTER,02,71,SINGAPORE,520272,1.0,1.3489257,103.9507634
547 BEDOK NORTH GREEN #22-26 BEDOK NORTH STREET 3 SINGAPORE 460547,547,BEDOK NORTH STREET 3,BEDOK NORTH GREEN,22,26,SINGAPORE,460547,547,BEDOK NORTH STREET 3,BEDOK NORTH GREEN,22,26,SINGAPORE,460547,1.0,1.3300232,103.9250022
257 #18-04 BANGKIT ROAD BUKIT PANJANG NEIGHBOURHOOD CENTRE SINGAPORE 670257,257,BANGKIT ROAD,BUKIT PANJANG NEIGHBOURHOOD CENTRE,18,04,SINGAPORE,670257,257,BANGKIT ROAD,BUKIT PANJANG NEIGHBOURHOOD CENTRE,18,04,SINGAPORE,670257,1.0,1.37851525,103.77308105
520 WEST COAST ROAD #03-61 WEST COAST PRIDE SINGAPORE 120520,520,WEST COAST ROAD,WEST COAST PRIDE,03,61,SINGAPORE,120520,520,WEST COAST ROAD,WEST COAST PRIDE,03,61,SINGAPORE,120520,1.0,1.3071067,103.7597026
442C #13-34 FAJAR HILLS FAJAR ROAD SINGAPORE 673442,442C,FAJAR ROAD,FAJAR HILLS,13,34,SINGAPORE,673442,442C,FAJAR ROAD,FAJAR HILLS,13,34,SINGAPORE,673442,1.0,51.7576291,116.6923562
741 #01-97 PASIR RIS STREET 71 SINGAPORE 510741,741,PASIR RIS STREET 71,,01,97,SINGAPORE,510741,741,PASIR RIS STREET 71,,01,97,SINGAPORE,510741,1.0,1.3776499,103.9365109
129 LORONGONG AH SOO #20-69 SINGAPORE 530129,129,LORONGONG AH SOO,,20,69,SINGAPORE,530129,129,LORONGONG AH SOO,,20,69,SINGAPORE,530129,1.0,1.3518922,103.8875192
578 CHENG SAN COURT ANG MO KIO AVENUE 10 #13-49 SINGAPORE 560578,578,ANG MO KIO AVENUE 10,CHENG SAN COURT,13,49,SINGAPORE,560578,578,ANG MO KIO AVENUE 10,CHENG SAN COURT,13,49,SINGAPORE,560578,1.0,1.3717904,103.8549652
55 GEYLANG BAHRU GEYLANG BAHRU RIVERPOINT #16-81 SINGAPORE 330055,55,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,16,81,SINGAPORE,330055,55,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,16,81,SINGAPORE,330055,1.0,45.87134833333333,22.901312933333333
24 SKOOL4KIDZ CENTRE #13-84 MARSILING DRIVE SINGAPORE 730024,24,MARSILING DRIVE,SKOOL4KIDZ CENTRE,13,84,SINGAPORE,730024,24,MARSILING DRIVE,SKOOL4KIDZ CENTRE,13,84,SINGAPORE,730024,1.0,1.4414935,103.7721272
406 #28-92 JURONG WEST STREET 42 ELIAS KINDERGARTEN SINGAPORE 640406,406,JURONG WEST STREET 42,ELIAS KINDERGARTEN,28,92,SINGAPORE,640406,406,JURONG WEST STREET 42,ELIAS KINDERGARTEN,28,92,SINGAPORE,640406,1.0,1.3543021,103.7224536
484 #03-28 JURONG WEST AVENUE 1 SWEETLANDS CHILDCARE JW 484 PTE. LTD. SINGAPORE 640484,484,JURONG WEST AVENUE 1,SWEETLANDS CHILDCARE JW 484 PTE. LTD.,03,28,SINGAPORE,640484,484,JURONG WEST AVENUE 1,SWEETLANDS CHILDCARE JW 484 PTE. LTD.,03,28,SINGAPORE,640484,1.0,1.3483616,103.7260389
739 TAMPINES STREET 72 #19-32 TAMPINES GREEN VALE SINGAPORE 520739,739,TAMPINES STREET 72,TAMPINES GREEN VALE,19,32,SINGAPORE,520739,739,TAMPINES STREET 72,TAMPINES GREEN VALE,19,32,SINGAPORE,520739,1.0,1.3592118,103.9331961
813 TAMPINES POLYVIEW TAMPINES STREET 81 #28-53 SINGAPORE 520813,813,TAMPINES STREET 81,TAMPINES POLYVIEW,28,53,SINGAPORE,520813,813,TAMPINES STREET 81,TAMPINES POLYVIEW,28,53,SINGAPORE,520813,1.0,1.3469342,103.9364705
14 LORONGONG 7 TOA PAYOH #17-40 SINGAPORE 310014,14,LORONGONG 7 TOA PAYOH,,17,40,SINGAPORE,310014,14,LORONGONG 7 TOA PAYOH,,17,40,SINGAPORE,310014,1.0,30.2917347,120.15819713333333
535 JURONG WEST STREET 52 #20-47 SINGAPORE 640535,535,JURONG WEST STREET 52,,20,47,SINGAPORE,640535,535,JURONG WEST STREET 52,,20,47,SINGAPORE,640535,1.0,1.3494716,103.7171591
638 #09-34 PASIR RIS DRIVE 1 SINGAPORE 510638,638,PASIR RIS DRIVE 1,,09,34,SINGAPORE,510638,638,PASIR RIS DRIVE 1,,09,34,SINGAPORE,510638,1.0,1.3761752,103.9406449
275 #21-04 TAMPINES STREET 22 SINGAPORE 520275,275,TAMPINES STREET 22,,21,04,SINGAPORE,520275,275,TAMPINES STREET 22,,21,04,SINGAPORE,520275,1.0,1.3480173,103.9508472
809 TAMPINES POLYVIEW #13-45 TAMPINES AVENUE 4 SINGAPORE 520809,809,TAMPINES AVENUE 4,TAMPINES POLYVIEW,13,45,SINGAPORE,520809,809,TAMPINES AVENUE 4,TAMPINES POLYVIEW,13,45,SINGAPORE,520809,1.0,1.3461056,103.9365252
836 #24-21 JURONG WEST STREET 81 HDB PUBLIC SHELTERS SINGAPORE 640836,836,JURONG WEST STREET 81,HDB PUBLIC SHELTERS,24,21,SINGAPORE,640836,836,JURONG WEST STREET 81,HDB PUBLIC SHELTERS,24,21,SINGAPORE,640836,1.0,1.34269525,103.69345105
554 PASIR RIS STREET 51 #16-97 SINGAPORE 510554,554,PASIR RIS STREET 51,,16,97,SINGAPORE,510554,554,PASIR RIS STREET 51,,16,97,SINGAPORE,510554,1.0,1.3683908,103.9532
706 #13-87 CHONG PANG GREEN YISHUN AVENUE 5 SINGAPORE 760706,706,YISHUN AVENUE 5,CHONG PANG GREEN,13,87,SINGAPORE,760706,706,YISHUN AVENUE 5,CHONG PANG GREEN,13,87,SINGAPORE,760706,1.0,49.88091835,15.806836389022742
196A PUNGGOL FIELD #28-40 SINGAPORE 821196,196A,PUNGGOL FIELD,,28,40,SINGAPORE,821196,196A,PUNGGOL FIELD,,28,40,SINGAPORE,821196,1.0,1.3993974,103.9064796
15 TECK WHYE LANE TECK WHYE HEIGHTS III #12-15 SINGAPORE 680015,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,12,15,SINGAPORE,680015,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,12,15,SINGAPORE,680015,1.0,48.40301681807229,135.12300544578315
818C #12-08 CHOA CHU KANG AVENUE 1 KEAT HONG MIRAGE SINGAPORE 683818,818C,CHOA CHU KANG AVENUE 1,KEAT HONG MIRAGE,12,08,SINGAPORE,683818,818C,CHOA CHU KANG AVENUE 1,KEAT HONG MIRAGE,12,08,SINGAPORE,683818,1.0,1.3767544,103.7481784
111 LORONGONG 1 TOA PAYOH #25-59 SINGAPORE 310111,111,LORONGONG 1 TOA PAYOH,,25,59,SINGAPORE,310111,111,LORONGONG 1 TOA PAYOH,,25,59,SINGAPORE,310111,1.0,1.341232,103.8454657
20 #19-39 MARINE TERRACE BREEZE MARINE TERRACE SINGAPORE 440020,20,MARINE TERRACE,MARINE TERRACE BREEZE,19,39,SINGAPORE,440020,20,MARINE TERRACE,MARINE TERRACE BREEZE,19,39,SINGAPORE,440020,1.0,21.1231778,79.063819
232 LORONG 8 TOA PAYOH PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH EAST-NOVENA 232 (CC) #13-08 SINGAPORE 310232,232,TOA PAYOH EAST,,13,08,SINGAPORE,310232,232,LORONGONG 8 TOA PAYOH,,13,08,SINGAPORE,310232,0.8571428571428571,1.3375803,103.8588651
230 #16-57 CHOA CHU KANG CENTRAL SINGAPORE 680230,230,CHOA CHU KANG CENTRAL,,16,57,SINGAPORE,680230,230,CHOA CHU KANG CENTRAL,,16,57,SINGAPORE,680230,1.0,1.3802439,103.7463965
715 CLEMENTI WEST STREET 2 #01-24 VISTA 18 SINGAPORE 120715,715,CLEMENTI WEST STREET 2,VISTA 18,01,24,SINGAPORE,120715,715,CLEMENTI WEST STREET 2,VISTA 18,01,24,SINGAPORE,120715,1.0,1.3029327,103.7622111
